Year,Month,Day,Temp at Recording,Dew Point / Frost Point,Wet Bulb Temp,Surface Temperature,Temperature Range,Temp Max,Temp Min,Specific Humidity,Relative Humidity,Precipitation
1983,12,16,-1.39,-3.17,-2.28,-1.37,4.38,1.18,-3.2,3.05,88.44,0.44
1983,12,17,-3.88,-6.21,-5.05,-3.99,3.96,-2.42,-6.38,2.38,85.44,1.16
1983,12,18,-5.79,-7.56,-6.67,-6.06,2.89,-4.36,-7.25,2.08,89.88,2
1983,12,19,-10.7,-13.02,-11.86,-10.78,9.06,-6.61,-15.67,1.34,85,0.69
1983,12,20,-14.52,-17.62,-16.07,-15.63,6.16,-11.36,-17.52,0.85,77.25,0.22
1983,12,21,-11.32,-14.06,-12.69,-12.81,10.89,-6.8,-17.69,1.22,81.31,1.96
1983,12,22,-1.85,-3.08,-2.47,-1.99,9.12,1.72,-7.4,3.17,92.25,15.5
1983,12,23,-9.06,-11.88,-10.47,-9.1,2.47,-7.68,-10.15,1.46,81.75,0.81
1983,12,24,-13.12,-15.06,-14.1,-13.13,6.66,-10.06,-16.72,1.1,86.81,2.57
1983,12,25,-14.87,-16.09,-15.48,-14.82,4.24,-12.56,-16.81,0.98,92.25,1.61
1983,12,26,-14.8,-16.52,-15.67,-14.81,3.08,-12.8,-15.88,0.92,87.88,1.15
1983,12,27,-11.52,-12.89,-12.21,-11.74,9.66,-5.96,-15.63,1.34,92.25,1.73
1983,12,28,-5.96,-6.48,-6.22,-6.14,14.23,-0.09,-14.31,2.5,98.12,10.17
1983,12,29,-7.42,-8.46,-7.94,-7.56,8.12,-2.18,-10.29,2.01,96.06,1.11
1983,12,30,-12.88,-14.01,-13.44,-13.09,7.7,-10.13,-17.83,1.22,94.81,0.13
1983,12,31,-14.96,-15.75,-15.35,-15.98,12.79,-8.1,-20.88,1.04,95.75,0.02
1984,1,1,-7.63,-8.85,-8.24,-8.5,10.42,-3.36,-13.78,1.89,94.31,0.09
1984,1,2,-3.86,-4.54,-4.2,-3.97,3.66,-2.02,-5.67,2.69,97.44,0.31
1984,1,3,-3.21,-3.91,-3.56,-3.35,6.41,-0.1,-6.5,2.87,97,0.08
1984,1,4,-1.13,-1.7,-1.42,-1.35,3.12,0.42,-2.7,3.42,96.69,0.22
1984,1,5,-1.55,-2.18,-1.87,-1.77,4.84,0.9,-3.95,3.3,96.69,0.43
1984,1,6,-0.99,-1.45,-1.22,-1.13,2.59,0.51,-2.08,3.54,97.44,3.82
1984,1,7,-9.83,-10.93,-10.38,-10.07,14.09,-1.72,-15.81,1.65,94.56,1.58
1984,1,8,-10.21,-10.99,-10.6,-12.55,12.03,-4.7,-16.74,1.71,97,2.7
1984,1,9,-7.82,-9.05,-8.44,-8.05,2.55,-7.23,-9.77,1.83,94.44,3.26
1984,1,10,-8.15,-8.81,-8.48,-8.27,7.16,-6.31,-13.46,1.89,98.88,5.94
1984,1,11,-16.71,-17.02,-16.86,-17.15,8.83,-11.85,-20.68,0.92,99.38,0.2
1984,1,12,-20.51,-20.92,-20.71,-21.95,9.6,-15.62,-25.22,0.61,97.5,0.01
1984,1,13,-12.38,-12.94,-12.66,-12.48,16.78,-5.3,-22.08,1.46,98,1.1
1984,1,14,-5.85,-6.49,-6.17,-5.95,9.1,-1.79,-10.89,2.32,98.5,1.9
1984,1,15,-13.95,-14.45,-14.2,-15.27,5.53,-11.11,-16.64,1.16,98.88,0.41
1984,1,16,-15.83,-16.27,-16.05,-16.27,10.6,-10.67,-21.27,0.98,98.75,0.3
1984,1,17,-9.77,-10.5,-10.13,-10.03,10.17,-4.92,-15.09,1.71,97.94,0.49
1984,1,18,-8.32,-9.17,-8.74,-9.08,5.39,-5.47,-10.86,1.83,97.44,2.33
1984,1,19,-12.1,-12.78,-12.44,-12.17,5.44,-9.38,-14.81,1.34,98.5,0.75
1984,1,20,-14.63,-15.31,-14.97,-14.69,4.73,-12.41,-17.14,1.04,97.62,0.71
1984,1,21,-17.2,-17.7,-17.45,-17.38,8.44,-14.83,-23.27,0.85,97.94,0.14
1984,1,22,-18.09,-18.55,-18.31,-18.27,15.27,-11.2,-26.46,0.85,98.31,0.16
1984,1,23,-9.91,-10.68,-10.3,-10.05,10.08,-4.09,-14.17,1.65,97.56,0.27
1984,1,24,-0.94,-1.39,-1.17,-1.26,8.39,0.87,-7.52,3.54,97.38,9.45
1984,1,25,-1.15,-2.29,-1.72,-1.26,4.39,0.92,-3.47,3.3,92.69,0.18
1984,1,26,-3.75,-5.22,-4.49,-3.91,5.1,-1.41,-6.51,2.56,91.69,0.34
1984,1,27,-1.9,-2.93,-2.42,-2.1,8.07,1.21,-6.86,3.17,93.81,0.27
1984,1,28,-9.1,-11.18,-10.13,-9.2,6.23,-6.02,-12.25,1.59,87.62,0.07
1984,1,29,-5.64,-6.89,-6.27,-5.87,6.52,-2.63,-9.15,2.32,93.62,1.45
1984,1,30,-2.86,-3.83,-3.35,-3.09,5.76,0.31,-5.45,2.93,95,2.11
1984,1,31,-7.6,-8.81,-8.2,-7.75,9.18,-3.4,-12.57,1.95,93.94,1.47
1984,2,1,-12.31,-14.09,-13.2,-14.19,8.21,-8.52,-16.74,1.16,88.94,0.02
1984,2,2,-7.49,-8.28,-7.89,-7.92,17.98,0.28,-17.7,2.2,94.94,0.98
1984,2,3,0.14,-0.66,-0.26,-0.22,4.39,2,-2.39,3.72,94.56,1.62
1984,2,4,0.42,-1.38,-0.48,0.18,6.36,4.66,-1.7,3.48,89.06,0.34
1984,2,5,-0.52,-1.47,-0.99,-0.66,3.31,1.32,-1.99,3.48,93.88,5.2
1984,2,6,-4.56,-5.94,-5.25,-4.3,6.48,-1.61,-8.09,2.5,92.56,2.24
1984,2,7,-9.47,-11.26,-10.37,-9.49,3.01,-8.13,-11.14,1.53,89.69,0.84
1984,2,8,-9.1,-10.77,-9.93,-9.2,4.06,-7.07,-11.13,1.59,90.62,0.33
1984,2,9,-7.02,-8.26,-7.64,-7.35,6.2,-3.78,-9.98,2.01,94.31,0.14
1984,2,10,-1.35,-2.56,-1.95,-1.64,12.97,3.67,-9.3,3.23,92.81,0.17
1984,2,11,2.49,2.16,2.33,2.13,7.53,7.84,0.31,4.52,96.44,2.11
1984,2,12,3.18,2.18,2.68,2.93,9.96,9.49,-0.47,4.52,92.75,0.16
1984,2,13,6.51,5.36,5.94,6.26,11.1,13.06,1.95,5.68,92.69,1.31
1984,2,14,7.53,6.9,7.22,7.11,7.17,10.62,3.46,6.35,95.75,24.45
1984,2,15,1.99,1.19,1.59,2.1,6,4.64,-1.36,4.21,94.56,7.17
1984,2,16,2.32,0.55,1.43,2.1,12.07,9.69,-2.39,4.03,89.5,0.29
1984,2,17,3.62,2.81,3.21,3.51,9.87,8.83,-1.03,4.76,94.19,0.26
1984,2,18,4.45,4.11,4.28,3.87,3.73,6.46,2.73,5.19,97.12,2.04
1984,2,19,4.76,3.9,4.33,4.69,6.1,7.53,1.43,5.13,94.19,3.25
1984,2,20,1.69,0.29,0.99,1.78,7.77,5.56,-2.21,3.97,90.56,2.01
1984,2,21,-1.1,-2.38,-1.74,-0.72,4.36,1.49,-2.87,3.23,91.88,1.2
1984,2,22,0.26,-2.1,-0.92,0.35,9.43,6.05,-3.38,3.3,85.44,0.04
1984,2,23,4.53,2.31,3.42,4.37,13.93,13.26,-0.67,4.64,87.12,0
1984,2,24,4.68,3.4,4.04,4.35,10,11.09,1.09,5,91.5,0.09
1984,2,25,0.4,-0.49,-0.04,0.6,9.15,4.48,-4.67,3.85,94.19,2.61
1984,2,26,-4.62,-8.07,-6.35,-3.87,3.34,-3.27,-6.6,2.01,77.94,0.29
1984,2,27,-3.99,-7.5,-5.74,-3.35,7.75,-0.24,-7.99,2.14,79.25,5.09
1984,2,28,-2.1,-2.93,-2.52,-1.83,4.29,-0.13,-4.42,3.17,95.31,18.38
1984,2,29,-8.65,-9.41,-9.02,-7.98,8.05,-2.36,-10.41,1.89,98.12,4.21
1984,3,1,-9.77,-10.53,-10.15,-9.7,4.62,-7.47,-12.09,1.65,98,3.48
1984,3,2,-7.97,-8.7,-8.34,-7.99,1.62,-7.26,-8.88,1.95,98.38,2.14
1984,3,3,-9.27,-10.06,-9.67,-9.38,6.01,-6.98,-12.99,1.71,97.94,0.33
1984,3,4,-11.08,-12.16,-11.62,-12.66,16.05,-4.34,-20.38,1.53,94.5,0.02
1984,3,5,-3.57,-4.12,-3.85,-3.69,11.6,0.29,-11.31,2.99,97.62,4.67
1984,3,6,-2.42,-3.11,-2.77,-2.4,5.91,0.06,-5.85,3.11,96.56,0.82
1984,3,7,-11.24,-12.15,-11.7,-11,7.65,-7.05,-14.7,1.4,96.5,0.43
1984,3,8,-14.07,-14.87,-14.47,-13.85,7,-10.94,-17.95,1.1,96.56,0.49
1984,3,9,-15.88,-16.81,-16.35,-17.08,8.25,-12.58,-20.82,0.92,94.44,0.13
1984,3,10,-11.17,-12.17,-11.67,-11.53,12.15,-6.19,-18.34,1.46,95.56,0.23
1984,3,11,-9.08,-10.2,-9.64,-9.2,10.59,-3.19,-13.79,1.77,94.62,2.27
1984,3,12,-14.51,-15.56,-15.03,-14.31,4.9,-12.19,-17.08,1.04,93.94,0.51
1984,3,13,-8.04,-8.79,-8.42,-7.98,9.7,-4.23,-13.92,1.95,97.81,4.95
1984,3,14,-7.54,-8.1,-7.81,-7.88,5.64,-4.85,-10.49,2.01,99.12,0.3
1984,3,15,-3.41,-4.13,-3.77,-3.88,12.32,1.21,-11.11,2.93,96,0.41
1984,3,16,1.83,1.05,1.44,1.68,12.88,7.67,-5.21,4.27,94.94,2.48
1984,3,17,-5.92,-8.63,-7.27,-5.12,8.84,-0.93,-9.77,1.95,83.38,0.14
1984,3,18,-1.92,-3.55,-2.73,-1.63,9.02,2.43,-6.59,2.99,89.88,0.44
1984,3,19,-0.2,-1.63,-0.92,-0.06,4.8,2.94,-1.87,3.42,91.19,0.3
1984,3,20,4.16,2.51,3.33,4.06,14.86,12.44,-2.42,4.82,90.19,0.12
1984,3,21,4.29,3.38,3.83,4.18,8.26,7.5,-0.77,5,93.69,3.27
1984,3,22,1.82,0.02,0.92,1.94,6.67,4.94,-1.74,3.91,88.12,1.64
1984,3,23,-1.17,-3.6,-2.38,-0.76,3.9,0.48,-3.42,2.99,84.31,1.13
1984,3,24,-1.17,-4.54,-2.85,-0.93,7.45,3.63,-3.82,2.75,79.75,0.03
1984,3,25,0.13,-3.69,-1.77,0.43,10.77,6.58,-4.19,2.93,79.44,0
1984,3,26,-2.42,-6.6,-4.51,-1.82,6.88,1.94,-4.92,2.32,75.81,0
1984,3,27,-0.22,-4.86,-2.54,-0.2,12.99,7.19,-5.8,2.69,74.88,0.06
1984,3,28,2.47,-0.06,1.2,2.75,9.77,8.11,-1.67,3.91,85.19,7.76
1984,3,29,-0.31,-0.88,-0.6,0.1,2.35,0.83,-1.52,3.66,96.19,21.3
1984,3,30,-1.42,-2.12,-1.77,-1.04,3.02,0,-3.03,3.3,95.94,1.45
1984,3,31,-0.35,-2.13,-1.24,-0.26,8.11,3.87,-4.24,3.3,89.38,0
1984,4,1,1.51,-0.95,0.28,1.44,11.32,7.76,-3.56,3.6,85.5,0
1984,4,2,3.64,0.65,2.14,3.78,12.64,10.4,-2.24,4.09,83,0.04
1984,4,3,4.76,0.4,2.58,4.65,11.27,11.3,0.04,3.97,76.75,0.01
1984,4,4,4.61,2.83,3.72,4.87,8.42,8.86,0.43,4.76,88.62,6.86
1984,4,5,8.4,7.44,7.92,8.13,8.84,12.2,3.35,6.71,93.06,19.14
1984,4,6,5,3.95,4.48,5.03,6.81,8.27,1.46,5.25,92.88,4.45
1984,4,7,1.63,0.3,0.97,2.19,4.27,3.9,-0.36,3.97,91.31,0.35
1984,4,8,1.66,-2.17,-0.25,2.04,9.85,6.81,-3.04,3.23,78.69,0.03
1984,4,9,1.85,-3.04,-0.6,2.09,13.24,9.38,-3.86,3.05,74.62,0.02
1984,4,10,1.09,-3.31,-1.11,1.65,11.13,6.96,-4.17,2.99,75.62,0
1984,4,11,4.71,1.55,3.13,4.92,15.8,12.78,-3.02,4.39,82,0
1984,4,12,7.97,3.52,5.75,7.53,13.98,15.67,1.69,5,77.62,0
1984,4,13,7.59,6.46,7.03,7.87,8.52,11.64,3.12,6.16,92.69,1.62
1984,4,14,8.31,6.44,7.37,8.55,7.21,12.94,5.73,6.1,88.56,0.94
1984,4,15,5.64,4.51,5.08,6.07,3.88,7.33,3.45,5.37,92.62,17.24
1984,4,16,3.75,2.83,3.3,4.31,6.39,7.05,0.66,4.82,93.38,11.14
1984,4,17,7.19,5.15,6.17,7.44,10.04,12.21,2.17,5.68,87.94,3.86
1984,4,18,8.39,5.1,6.74,8.64,10.3,14.5,4.19,5.62,82.31,3.04
1984,4,19,8.37,6.18,7.28,8.69,9.09,13.78,4.7,5.98,87.5,5.34
1984,4,20,7.62,5.33,6.48,8.05,7.61,11.86,4.26,5.62,86.44,0.83
1984,4,21,3.95,-0.52,1.72,4.61,7.67,6.23,-1.44,3.78,74.44,0.05
1984,4,22,4.26,-1.91,1.18,4.56,14.34,11.12,-3.22,3.42,69.31,0.02
1984,4,23,5.4,3.4,4.4,5.97,9.13,9.69,0.56,5,87.44,4.76
1984,4,24,7.2,5.37,6.29,7.62,8.23,12.19,3.95,5.8,89.19,5.55
1984,4,25,6.54,5.49,6.01,6.94,6.52,10.23,3.71,5.8,92.56,2.22
1984,4,26,10.07,7.1,8.58,10.19,12,16.66,4.67,6.41,83.44,0.02
1984,4,27,13.17,9.44,11.31,13.19,12.07,19.64,7.58,7.51,80.12,0
1984,4,28,13.52,11.59,12.55,13.58,7.86,18.1,10.25,8.61,88.75,2.96
1984,4,29,13.13,7.11,10.12,12.7,11.08,18.46,7.39,6.35,69.88,0.06
1984,4,30,14.13,11.26,12.69,14.26,14.12,21.91,7.79,8.85,83.06,8.25
1984,5,1,7.02,1.87,4.45,7.69,6.25,9.9,3.65,4.46,70.81,0.4
1984,5,2,5.01,0.09,2.55,5.53,9.7,10.15,0.46,3.91,72.5,0.95
1984,5,3,8.53,4.31,6.42,8.98,15.92,15.74,-0.19,5.49,77.81,4.54
1984,5,4,8.73,7.53,8.12,9.17,9.94,14.08,4.15,6.77,92.38,19.05
1984,5,5,7.6,5.48,6.55,8.01,9.02,13.09,4.08,5.74,87.25,1.12
1984,5,6,10.48,5.03,7.76,10.55,15.71,18.38,2.67,5.55,73.06,0.44
1984,5,7,11.47,8.83,10.15,11.71,10.34,16.08,5.74,7.2,84.56,1.31
1984,5,8,11.92,10.76,11.34,12.12,9.93,16.96,7.03,8.36,92.56,8.46
1984,5,9,6.87,2.88,4.87,7.48,7.07,10.24,3.18,4.82,77.44,1.07
1984,5,10,8.99,4.8,6.89,9.37,10.54,14.86,4.32,5.43,77.75,2.37
1984,5,11,13.08,9.56,11.32,13.23,12.77,18.52,5.75,7.81,80.31,18.15
1984,5,12,13.6,10.34,11.98,13.72,10.17,18.69,8.52,8.06,82.19,7.98
1984,5,13,7.27,3.13,5.2,7.98,8.97,11.48,2.52,4.82,77.25,11.58
1984,5,14,6.04,2.46,4.25,6.87,9.28,11.11,1.83,4.64,80.62,1.1
1984,5,15,5.65,2.54,4.1,6.44,6.05,9.12,3.07,4.64,82.25,1.18
1984,5,16,5.3,1.21,3.25,6.01,6.98,9.31,2.33,4.21,77.38,0.37
1984,5,17,8.01,2,5.01,7.58,10.42,13.01,2.59,4.39,68.31,0
1984,5,18,10.44,5.93,8.19,10.58,12.85,15.83,2.98,5.92,75.94,0.14
1984,5,19,14.76,11.85,13.31,14.91,13.5,22.55,9.05,8.97,83.94,2.26
1984,5,20,13,11.14,12.07,13.1,9.2,17.69,8.49,8.42,88.38,1.81
1984,5,21,14.57,10.22,12.4,14.48,10.65,19.87,9.22,7.87,77.12,0.27
1984,5,22,19.99,17.74,18.87,19.95,12.19,25.17,12.98,13.06,87.38,5.16
1984,5,23,17.14,15.23,16.18,17.26,10.47,21.51,11.04,11.29,88.69,14.8
1984,5,24,13.82,8.05,10.94,14.26,11.68,19.47,7.8,6.84,70.94,0.23
1984,5,25,17.31,13.08,15.19,17.55,13.32,23.78,10.47,9.7,77.31,0.59
1984,5,26,16.87,13.78,15.32,17.1,10.22,20.69,10.47,10.13,82.81,3.4
1984,5,27,10.98,4.36,7.67,11.59,9.27,15.87,6.6,5.25,67.12,0.13
1984,5,28,8.84,7.36,8.1,9.67,4.09,11,6.9,6.47,90.38,40.05
1984,5,29,13.76,12.15,12.95,14.15,11.79,21.05,9.26,9.09,90.81,3.23
1984,5,30,10.37,7.02,8.69,11.05,6.4,13.99,7.59,6.35,81.56,2.02
1984,5,31,9.62,4.44,7.03,9.35,7.43,12.67,5.24,5.31,71.19,0.01
1984,6,1,12.11,7.57,9.83,11.97,11.52,17.62,6.11,6.59,76.19,0
1984,6,2,13.42,9.02,11.23,13.83,12.02,19.19,7.17,7.32,77.19,0.02
1984,6,3,13.66,11.3,12.48,14.11,9.81,19.2,9.38,8.54,86.5,0.92
1984,6,4,16.9,11.89,14.4,17.12,14.98,23.26,8.28,8.91,74.38,0
1984,6,5,18.66,13.58,16.12,18.73,13.99,25.17,11.19,9.89,75.25,0.01
1984,6,6,20.83,18.76,19.8,20.9,10.8,25.56,14.75,13.92,88.44,4.5
1984,6,7,23.21,20.37,21.8,23.15,9.21,27.57,18.36,15.2,85.06,0.07
1984,6,8,24.38,20.55,22.47,24.38,9.71,29.15,19.45,15.38,80.5,0
1984,6,9,23.92,20.87,22.39,24,8.03,28.04,20.01,15.69,83.94,0.1
1984,6,10,24.76,20.48,22.62,24.83,11.69,30.09,18.41,15.32,78.62,0.01
1984,6,11,20.39,15.94,18.16,20.89,12.57,25.14,12.57,11.72,77.25,0.01
1984,6,12,18.87,12.34,15.6,19.28,16.79,26.83,10.04,9.09,69.69,0
1984,6,13,21.8,19.3,20.55,22.1,9.46,26.43,16.98,14.22,86.44,11.62
1984,6,14,20,15.72,17.86,20.53,11.09,23.74,12.65,11.6,77.94,1.02
1984,6,15,12.74,5.48,9.11,13.26,7.27,16.4,9.14,5.74,63.75,0
1984,6,16,15.3,6.88,11.09,15.05,12.26,21.62,9.37,6.35,59.31,0
1984,6,17,17.32,15.44,16.38,17.87,6.76,20.5,13.74,11.17,89,2.5
1984,6,18,21.01,20.29,20.65,21.19,8.91,25.3,16.4,15.38,95.62,19.61
1984,6,19,19.72,15.65,17.69,20.01,10.16,24.04,13.87,11.35,79.5,1.58
1984,6,20,15.77,10.79,13.28,16.33,8.94,20.62,11.68,8.18,74.56,0.02
1984,6,21,16.81,9.51,13.15,16.26,12.55,22.71,10.15,7.51,64.5,0
1984,6,22,17.8,10.39,14.1,17.83,11.86,24,12.15,7.93,64.38,0
1984,6,23,19.76,14.5,17.12,20.2,15.56,26.78,11.22,10.62,74.12,0.38
1984,6,24,19.1,17.14,18.12,19.53,8.86,23.37,14.51,12.51,88.69,17.01
1984,6,25,16.47,11.98,14.22,16.88,9.42,21.14,11.72,8.91,77.44,1.02
1984,6,26,14.85,10.02,12.44,15.13,9.81,19.25,9.43,7.81,74.38,0.87
1984,6,27,18.86,14.51,16.68,19.28,14.99,25.84,10.84,10.74,77.75,4.4
1984,6,28,19.8,15.05,17.42,19.87,8.62,24.15,15.54,10.86,76,2.05
1984,6,29,20.12,15.77,17.94,20.32,13.02,27.38,14.37,11.41,78.12,3.65
1984,6,30,19.08,16.63,17.86,19.53,7.66,23.28,15.62,12.02,86.5,2.34
1984,7,1,19.47,16.33,17.9,19.75,8.32,23.96,15.64,11.78,83.38,1.19
1984,7,2,21.07,15.78,18.42,21.2,12.73,26.73,14,11.35,74.44,0.05
1984,7,3,21.85,16.48,19.16,22.15,10.39,26.73,16.34,11.9,74,1.55
1984,7,4,21.87,19.01,20.44,22.23,9.44,27.25,17.81,14.1,85.06,20.36
1984,7,5,20.3,18.83,19.56,20.75,5.35,23.33,17.98,13.92,91.75,18.39
1984,7,6,20.65,18.16,19.4,21.07,10.3,25.41,15.12,13.43,86.94,5.09
1984,7,7,16.89,11.46,14.18,17.61,8.58,20.78,12.2,8.73,73.12,3.5
1984,7,8,15.36,8.9,12.12,15.53,11.07,20.04,8.97,7.2,67.5,0.01
1984,7,9,17.98,10.95,14.47,18.11,14.45,24.87,10.42,8.24,66.44,0.54
1984,7,10,18.58,15.95,17.26,19.01,8.8,22.18,13.38,11.66,85.56,3.19
1984,7,11,22.1,20.76,21.44,22.24,9.64,27.08,17.44,15.87,92.5,5
1984,7,12,20.88,15.13,18.01,21.18,12.26,26.58,14.32,10.93,72.5,0.12
1984,7,13,21.65,15.57,18.61,21.66,11.71,26.86,15.15,11.23,70.88,0
1984,7,14,23.75,17.57,20.66,23.88,12.38,29.76,17.38,12.7,70.94,0.09
1984,7,15,24.15,19.21,21.68,24.35,10.47,29.28,18.8,14.16,76.06,1.08
1984,7,16,22.73,16.53,19.63,23.04,9.49,27.12,17.64,12.08,70.88,0.66
1984,7,17,21.23,14.66,17.94,21.69,12.16,26.7,14.55,10.68,69.25,0.46
1984,7,18,18.65,14.98,16.81,19.24,7.08,22.01,14.94,10.93,80.69,4.06
1984,7,19,18.74,12.35,15.55,19.15,10.97,24.15,13.19,9.09,70.06,0.22
1984,7,20,20.62,13.73,17.18,20.98,13.26,26.99,13.73,9.95,68.56,0.02
1984,7,21,21.57,14.78,18.17,21.33,12.35,28.24,15.89,10.62,68.75,0
1984,7,22,22.75,14.47,18.61,22.78,15.71,30.34,14.63,10.38,63.5,0
1984,7,23,25.19,17.87,21.53,25.33,12.07,31.01,18.93,12.94,66.38,0.01
1984,7,24,22.43,13.72,18.07,22.76,9.59,26.56,16.97,10.07,59.38,0.12
1984,7,25,18.84,9.33,14.08,18.64,10.18,23.54,13.36,7.51,58,0
1984,7,26,19.67,11.23,15.44,19.98,14.72,26.62,11.9,8.48,62.19,2.05
1984,7,27,17.16,14.25,15.7,17.55,6.24,20.69,14.44,10.31,84,22.47
1984,7,28,18.19,12.35,15.26,17.97,9.35,23.48,14.13,9.03,70.88,0.27
1984,7,29,19.74,10.95,15.35,19.14,12.55,26.01,13.46,8.24,60.69,0.01
1984,7,30,21.47,11.18,16.32,21.09,13.8,28.23,14.43,8.36,56.69,0
1984,7,31,22.4,14.06,18.23,22.44,14.29,28.97,14.68,10.19,62.25,0.02
1984,8,1,22.58,16.85,19.72,22.5,8.81,26.83,18.02,12.15,71.94,0.5
1984,8,2,23.4,18.01,20.7,22.83,8.23,27.34,19.11,13.06,72.56,2.77
1984,8,3,23.08,19.57,21.33,22.83,7.14,26.88,19.74,14.4,81.69,6.94
1984,8,4,24.6,17.65,21.12,24.44,12.17,30.78,18.61,12.88,69.5,0.75
1984,8,5,23.67,16.95,20.31,23.54,11.59,29.98,18.4,12.27,69.44,1.63
1984,8,6,23.42,17.69,20.55,23.72,11.52,29.43,17.9,12.88,72.88,0.38
1984,8,7,23.92,18.98,21.45,24.09,9.75,29.23,19.48,14.1,76.5,7.81
1984,8,8,24.11,18.06,21.08,24.07,11.55,29.58,18.03,13.18,71.19,2.07
