FID,BPID,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Rating2023,RatingCate,FC,CreationDa,Miles,Shape__Length
24,SYR2463,Morton St,Avery,Hayden,100,7,25,10,Excellent,19,8/21/2023 12:00:00 AM,0.0521819354577,114.865307194093
25,SYR2957,"Salina St., S.",Filmore,Dawes,4000,14,40,7,Good,16,8/18/2023 12:00:00 AM,0.0639896921511,141.145175045133
26,SYR1504,Gordon Ave,Hubbell,Roberts,100,12,27,9,Excellent,19,7/26/2023 12:00:00 AM,0.073593964796,161.816148175379
27,SYR2464,Morton St.,Hayden,Myrtle,200,7,25,10,Excellent,19,8/21/2023 12:00:00 AM,0.0581296194046,127.963957415324
28,SYR2958,"Salina St., S.",Dawes,Anderson,4100,14,40,7,Good,16,8/18/2023 12:00:00 AM,0.057811138097,127.512147098973
29,SYR1505,Gordon Ave,Roberts,Stinard,200,12,27,9,Excellent,19,7/26/2023 12:00:00 AM,0.103819581937,228.275208782885
30,SYR2465,Moseley Dr.,James,Northcliffe,100,5,24,8,Good,19,5/31/2023 12:00:00 AM,0.175075351161,386.574969721088
31,SYR2959,"Salina St., S.",Anderson,W. Florence,4200,14,40,7,Good,16,8/18/2023 12:00:00 AM,0.0588520711143,129.807603331901
32,SYR296,Berger Ave.,W. Newell,Onon. Crk. Blvd.,100,13,25,6,Fair,19,8/2/2023 12:00:00 AM,0.247399807394,545.805256770307
33,SYR2960,"Salina St., S.",W. Florence,W. Glen,4300,14,40,5,Poor,16,8/18/2023 12:00:00 AM,0.109670761286,241.911628357664
34,SYR2961,"Salina St., S.",W. Glen,Clarence,4400,14,40,5,Poor,16,8/18/2023 12:00:00 AM,0.0943647760677,208.14559580182
35,SYR2962,"Salina St., S.",Clarence,Minerva,4500,14,40,5,Poor,16,8/18/2023 12:00:00 AM,0.0840816730616,185.460190355373
36,SYR2963,"Salina St., S.",Minerva,Seeley Ave,4600,14,40,5,Poor,16,8/18/2023 12:00:00 AM,0.0643967888063,142.04093571948
37,SYR2964,"Salina St., S.",Seeley Ave,Seneca Tnpk,4700,14,40,9,Excellent,16,8/18/2023 12:00:00 AM,0.0957216127827,211.130223313979
38,SYR2965,"Salina St., S.",Seneca Tnpk,Byrne Pl.,4800,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.224455961894,495.041187978731
39,SYR2966,"Salina St., S.",Byrne Pl.,Weymouth Rd,4900,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.100257646292,221.113530925633
40,SYR2967,"Salina St., S.",Weymouth Rd,E. Cheltenham,5000,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0594549678959,131.12221421509
41,SYR2968,"Salina St., S.",E. Cheltenham,Warrington,5100,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0604132566624,133.233927813422
42,SYR2969,"Salina St., S.",Warrington,Harding Pl.,5200,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0644076716117,142.040392750029
43,SYR297,Berkeley Dr.,Stratford,Dorset,100,16,32,9,Excellent,19,8/2/2023 12:00:00 AM,0.0665102806128,146.74000088265
44,SYR2970,"Salina St., S.",Harding Pl.,Brampton Rd.,5300,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0710157763307,156.611966375011
45,SYR2971,"Salina St., S.",Brampton Rd.,Searlwyn,5400,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0631253321186,139.207511025443
46,SYR2972,"Salina St., S.",Searlwyn,Conifer Dr,5500,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0585349654315,129.083875728295
47,SYR2973,"Salina St., S.",Conifer Dr,Richfield,5500,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.11618568923,256.2124983838
48,SYR2974,"Salina St., S.",Richfield,Maplewood,5600,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0541423687538,119.390619809464
49,SYR2975,"Salina St., S.",Maplewood,Oakley Dr.,5700,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0729537674013,160.870092526245
50,SYR2976,"Salina St., S.",Oakley Dr.,Parrish La.,5800,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.071022966382,156.609563101497
51,SYR2977,"Salina St., S.",Parrish La.,Dorwin Ave.,5900,14,40,9,Excellent,16,8/21/2023 12:00:00 AM,0.0481691099436,106.211886217027
52,SYR2978,Salisbury Pk Dr,Mountainview,Fayette Blvd,500,17,32,6,Fair,19,7/28/2023 12:00:00 AM,0.110472302892,243.858043047911
53,SYR2979,Salisbury Pk Dr,Fayette Blvd.,Salt Springs Rd,600,17,32,6,Fair,19,7/28/2023 12:00:00 AM,0.139170721943,307.196021178739
54,SYR298,Berkeley Dr.,Dorset,Terrace,200,16,32,9,Excellent,19,8/2/2023 12:00:00 AM,0.095654673135,210.858868445668
55,SYR2980,Salisbury Rd.,Avery Ave,Benham,100,8,29,10,Excellent,17,10/24/2023 12:00:00 AM,0.298284628831,656.033177560492
56,SYR2981,Salisbury Rd.,Benham,Montrose,200,8,29,10,Excellent,17,10/24/2023 12:00:00 AM,0.0515144355537,113.327675051945
57,SYR2982,Salt Springs Rd,E. Genesee,Bruce,100,17,0,7,Good,16,7/28/2023 12:00:00 AM,0.0529390359201,116.440266184427
58,SYR2983,Salt Springs Rd.,Bruce,Fenway,200,17,25,7,Good,16,7/28/2023 12:00:00 AM,0.0543585977306,119.575322851156
59,SYR2984,Salt Springs Rd.,Fenway,Genesee Pk. Dr.,300,17,25,6,Fair,16,7/28/2023 12:00:00 AM,0.0595436675796,130.978355630334
60,SYR2985,Salt Springs Rd.,Genesee Pk. Dr.,Beattie,400,17,25,6,Fair,16,7/28/2023 12:00:00 AM,0.0607817694269,133.703708431044
61,SYR2986,Salt Springs Rd.,Beattie,East Ave,500,17,25,5,Poor,16,7/28/2023 12:00:00 AM,0.110619853491,243.334549209143
62,SYR2987,Salt Springs Rd.,East Ave,Seeley Rd.,600,17,25,6,Fair,16,7/28/2023 12:00:00 AM,0.121194202443,266.594667821746
63,SYR2988,Salt Springs Rd.,Seeley Rd.,Gorland,700,17,34,6,Fair,16,7/28/2023 12:00:00 AM,0.10720262497,235.820591498098
64,SYR2989,Salt Springs Rd.,Gorland,Ball Ave,800,17,34,6,Fair,16,7/28/2023 12:00:00 AM,0.0742535251532,163.339794719737
65,SYR299,Berkeley Dr.,Terrace,Broad,300,16,32,6,Fair,19,8/2/2023 12:00:00 AM,0.197734810402,435.669014223144
66,SYR2990,Salt Springs Rd.,Ball Ave,Salisbury Pk.,900,17,36,6,Fair,16,7/28/2023 12:00:00 AM,0.131094237655,288.376994384601
67,SYR2991,Salt Springs Rd.,Salisbury Pk.,Melbourne,1000,17,36,7,Good,16,7/28/2023 12:00:00 AM,0.0635603090176,139.821572086136
68,SYR2992,Salt Springs Rd.,Melbourne,Audubon Pkwy,1100,17,36,6,Fair,16,7/28/2023 12:00:00 AM,0.0645155405154,141.919853990889
69,SYR2993,Salt Springs Rd.,Audubon Pkwy,Springfield Rd.,1200,17,36,6,Fair,16,7/28/2023 12:00:00 AM,0.0594291578487,130.722300456292
70,SYR2994,Salt Springs Rd.,Springfield Rd.,Albert Rd.,1300,17,36,6,Fair,19,7/28/2023 12:00:00 AM,0.111138791519,244.44584103434
71,SYR2995,Salt Springs Rd.,Albert Rd.,Carlton Dr.,1400,17,36,6,Fair,19,7/28/2023 12:00:00 AM,0.131872749779,290.056590696097
72,SYR2996,Salt Springs Rd.,Carlton Dr.,Barrington Rd.,1500,17,36,7,Good,19,7/28/2023 12:00:00 AM,0.173203885277,381.426224977063
73,SYR2997,Salt Springs Rd.,Barrington Rd.,Sherbrooke,1600,17,36,7,Good,19,7/28/2023 12:00:00 AM,0.116976138821,257.682712347647
74,SYR10,Academy Place,Brooklea Dr.,Norman Av.,300,13,28,7,Good,19,8/21/2023 12:00:00 AM,0.0712272470225,157.082409567482
75,SYR2998,Salt Springs Rd.,Sherbrooke,Manor Dr.,1700,17,36,7,Good,19,7/28/2023 12:00:00 AM,0.112162017816,246.978461193313
76,SYR2999,Salt St,N. Salina,Butternut,100,9,21,4,Poor,19,7/19/2023 12:00:00 AM,0.107365452517,236.839705446916
77,SYR1975,Kinne St,Sunstruck,Hixson,200,5,27,8,Good,19,7/11/2023 12:00:00 AM,0.0625195556457,137.535606543377
78,SYR3,Aberdeen Terr.,Burnet,Caleb,100,5,22,8,Good,19,6/27/2023 12:00:00 AM,0.122451514691,270.223401642906
79,SYR30,"Adams St., E.",University Av.,Walnut,1100,16,30,9,Excellent,16,8/1/2023 12:00:00 AM,0.11207782818,246.486972741909
80,SYR300,Berkshire Ave.,Butternut,Wadsworth,100,3,27,4,Poor,19,7/18/2023 12:00:00 AM,0.16927198286,372.475357204105
81,SYR3000,Sand St,W. Genesee,Belden/690,100,2,20,5,Poor,19,8/22/2023 12:00:00 AM,0.0938907234388,207.269146323965
82,SYR3001,Sand St.,Belden,Edison,200,2,20,8,Good,19,8/22/2023 12:00:00 AM,0.182155103958,401.024813977539
83,SYR3002,Sand St.,Marquette,Spencer,300,2,20,6,Fair,19,7/6/2023 12:00:00 AM,0.0546510608461,120.646966804102
84,SYR3003,Saturn Rd,Lafayette Rd.,dead end,100,14,24,6,Fair,19,8/14/2023 12:00:00 AM,0.10396707566,228.494359896808
85,SYR3004,Schiller Ave,Highland St.,Wadsworth,100,4,24,4,Poor,19,7/5/2023 12:00:00 AM,0.146572750873,322.504675423522
86,SYR3005,Schneider St.,Butternut,Seward,100,4,16,4,Poor,19,7/5/2023 12:00:00 AM,0.11920534199,262.453911285858
87,SYR3006,Schoeck Ave,Sedwick Dr.,Woodlawn Terr,100,4,30,6,Fair,19,7/5/2023 12:00:00 AM,0.166724754677,367.353378381329
88,SYR3007,School St,St. Mark's,Lowell,100,7,0,10,Excellent,19,7/12/2023 12:00:00 AM,0.0636529854703,140.091090441333
89,SYR3008,School St,Lowell,Fayette St.,200,7,0,7,Good,19,7/12/2023 12:00:00 AM,0.0502164435891,110.547908351578
90,SYR3009,Schuler St,Winton,Teall,100,6,29,6,Fair,19,7/11/2023 12:00:00 AM,0.112631063492,247.776852969151
91,SYR301,Berkshire Ave.,Wadsworth,Herz,200,3,27,7,Good,19,7/18/2023 12:00:00 AM,0.0720134683692,158.463203624482
92,SYR3010,Schuyler St,W. Fayette,Lowell,200,7,27,6,Fair,19,7/12/2023 12:00:00 AM,0.0799620511518,176.017142270156
93,SYR3011,Schuyler St,Lowell,Emerson,300,7,27,7,Good,19,7/12/2023 12:00:00 AM,0.0764839084091,168.357368910075
94,SYR3012,Schuyler St,Emerson,Milton,400,7,27,7,Good,19,7/12/2023 12:00:00 AM,0.126895979835,279.311419466673
95,SYR3013,Schuyler St,Milton,Willis,500,7,27,7,Good,19,7/12/2023 12:00:00 AM,0.113699786768,250.265354299939
96,SYR3014,Schuyler St,Willis,Avery,600,7,27,7,Good,19,7/12/2023 12:00:00 AM,0.113418320728,249.642603068567
97,SYR3015,Schuyler St,Avery,Myrtle,700,7,27,7,Good,19,7/12/2023 12:00:00 AM,0.112888343192,248.481279750074
98,SYR3016,Scott Ave,E. Genesee,Scottholm Blvd.,100,17,28,7,Good,19,8/1/2023 12:00:00 AM,0.096470649508,212.787531153264
99,SYR3017,Scott Ave,Scottholm Blvd.,Meadowbrook,200,17,28,6,Fair,19,8/1/2023 12:00:00 AM,0.23205041783,511.814012741771
100,SYR3018,Scott Ave,Meadowbrook,Mineola,300,17,29,8,Good,19,8/2/2023 12:00:00 AM,0.235813210456,520.290639234173
101,SYR3019,Scott Ave,Mineola,Euclid,400,17,29,8,Good,19,8/2/2023 12:00:00 AM,0.0743707229017,164.117159603457
102,SYR302,Berkshire Ave.,Herz,Darlington,300,3,27,7,Good,19,7/18/2023 12:00:00 AM,0.0742011919122,163.277518755385
103,SYR3020,Scott Ave,Euclid,City Line,500,17,29,6,Fair,19,8/2/2023 12:00:00 AM,0.141535281466,312.323389011662
104,SYR3021,Scott Ave West,Scott Ave,Crawford,100,17,34,6,Fair,19,8/1/2023 12:00:00 AM,0.0654862418572,144.226028342859
105,SYR3023,Scottholm Blvd,Scottholm Terr.,Scott Ave,200,17,30,6,Fair,19,8/1/2023 12:00:00 AM,0.218506844805,481.504323716059
106,SYR3024,Scottholm Blvd,Scott Ave,Ramsey Ave,300,17,30,6,Fair,19,8/1/2023 12:00:00 AM,0.0760221396194,167.274270014454
107,SYR3025,Scottholm Blvd,Ramsey Ave,Bradford Pkwy,400,17,30,5,Poor,19,8/1/2023 12:00:00 AM,0.065303733899,143.687813000783
108,SYR3026,Scottholm Ter,Scottholm Blvd.,Crawford,100,17,27,5,Poor,19,8/1/2023 12:00:00 AM,0.128933250638,284.578516473131
109,SYR3027,Scottholm Ter,Crawford,Sunnyside Rd.,200,17,27,0,Not Rated,19,11/8/2023 12:00:00 AM,0.312072846682,688.538990826801
110,SYR3028,Scottholm Ter,Sunnyside Rd.,Meadowbrook,300,17,27,9,Excellent,19,8/1/2023 12:00:00 AM,0.088059351654,194.010949521754
111,SYR3029,Scoville Ave,Wadsworth,Woodruff,100,4,28,6,Fair,19,7/5/2023 12:00:00 AM,0.0589069046365,129.608693429095
112,SYR303,Bertram Pl.,Onon. Crk. Blvd.,Valley Dr.,100,13,28,7,Good,19,8/18/2023 12:00:00 AM,0.165634439175,364.124871730564
113,SYR3030,Scoville Ave,Woodruff,Oak,200,4,28,5,Poor,19,7/5/2023 12:00:00 AM,0.060796727438,133.766234054036
114,SYR3031,Scoville Ave,Oak,Helen,300,4,28,6,Fair,19,7/5/2023 12:00:00 AM,0.0560060098264,123.226017177822
115,SYR3032,Scoville Ave,Helen,Dewitt,400,4,28,6,Fair,19,7/5/2023 12:00:00 AM,0.0561855373365,123.622393132531
116,SYR3033,Scoville Ave,Dewitt,Sedgwick Dr.,500,4,28,7,Good,19,7/5/2023 12:00:00 AM,0.0616735030003,135.694396676963
117,SYR3034,Scoville Ave,Sedgwick Dr.,Wendell Terr.,600,4,28,5,Poor,19,7/5/2023 12:00:00 AM,0.164256562865,361.402388862955
118,SYR3035,Searlwyn Rd,S. Salina,Coldbrook,100,14,22,7,Good,19,8/21/2023 12:00:00 AM,0.200398041086,440.36302207886
119,SYR3036,Searlwyn Rd,Coldbrook,Latter Dr.,200,14,22,6,Fair,19,8/21/2023 12:00:00 AM,0.069122571727,151.902259725929
120,SYR3037,Second N St,Kirkpatrick,Danforth,100,1,36,7,Good,19,7/19/2023 12:00:00 AM,0.093924995943,206.83260678922
121,SYR3038,Second N St,Danforth,Court,200,1,36,6,Fair,19,7/19/2023 12:00:00 AM,0.0943593552471,207.795959203795
122,SYR3039,Second N St,Court,Turtle,300,1,36,6,Fair,19,7/19/2023 12:00:00 AM,0.0904811518632,199.252430155417
123,SYR304,Berwyn Ave.,E. Colvin St.,dead end,100,19,22,6,Fair,19,8/14/2023 12:00:00 AM,0.206199185527,454.97782721035
124,SYR3040,Second N St,Turtle,Bear,400,1,36,6,Fair,19,7/19/2023 12:00:00 AM,0.0882483933682,194.335609023517
125,SYR3041,Second N St,Bear,LeMoyne,500,1,36,6,Fair,19,7/19/2023 12:00:00 AM,0.090810680947,199.99025581407
126,SYR3042,Second N St,LeMoyne,Wolf,600,1,36,5,Poor,19,7/19/2023 12:00:00 AM,0.0903910786726,199.066036614658
127,SYR3043,Second N St,Wolf,Hiawatha,700,1,36,5,Poor,19,7/19/2023 12:00:00 AM,0.142852680398,314.603870476656
128,SYR3044,Sedgwick Dr,James,Brattle Rd.,100,4,40,9,Excellent,19,7/12/2023 12:00:00 AM,0.101400350705,223.60153369577
129,SYR3045,Sedgwick Dr,Brattle Rd.,Farmer,200,4,40,9,Excellent,19,7/12/2023 12:00:00 AM,0.0930759350792,205.404197652933
130,SYR3046,Sedgwick Dr,Farmer,Hampshire Rd,300,4,40,9,Excellent,19,7/12/2023 12:00:00 AM,0.112193070899,247.263312369861
131,SYR3047,Sedgwick Dr,Hampshire Rd,Rugby Rd,400,4,40,9,Excellent,19,7/12/2023 12:00:00 AM,0.164766460928,363.406405494604
132,SYR3048,Sedgwick Dr,Rugby Rd,Sedgwick Rd,500,4,36,9,Excellent,19,7/12/2023 12:00:00 AM,0.0692268539609,152.856593138233
133,SYR3049,Sedgwick Dr,Sedgwick Rd,Scoville,600,4,36,9,Excellent,19,7/12/2023 12:00:00 AM,0.0564283359041,124.598950902698
134,SYR305,Beverly Rd.,Stolp,Crossett,100,12,24,8,Good,19,7/26/2023 12:00:00 AM,0.172048005086,379.648331192736
135,SYR3050,Sedgwick Dr,Scoville,Shoeck,700,4,36,6,Fair,19,7/5/2023 12:00:00 AM,0.0619929765565,136.887499328526
136,SYR3051,Sedgwick Dr,Shoeck,Mertens,800,4,36,6,Fair,19,7/5/2023 12:00:00 AM,0.0635531563799,140.330840109617
137,SYR3052,Sedgwick Rd,Sedgwick Dr.,dead end,100,4,31,4,Poor,19,7/12/2023 12:00:00 AM,0.103172874412,227.00213031088
138,SYR3053,Sedgwick St,James,Shuart,100,6,30,7,Good,19,7/11/2023 12:00:00 AM,0.115390399867,254.492621805503
139,SYR3054,Sedgwick St,Shuart,Robinson,200,6,30,6,Fair,19,7/11/2023 12:00:00 AM,0.137760210127,303.830929301686
140,SYR3055,Seeley Ave,S. Salina,dead end,100,14,24,7,Good,19,8/21/2023 12:00:00 AM,0.149385527621,328.321114868514
141,SYR3056,Seeley Rd,Erie Blvd,Hazelwood,0,17,27,6,Fair,16,7/28/2023 12:00:00 AM,0.15323398138,338.262692259183
142,SYR3057,Seeley Rd.,Hazelwood,Mountainview,300,17,27,6,Fair,16,7/28/2023 12:00:00 AM,0.0549033953667,121.195881843558
143,SYR3058,Seeley Rd.,Mountainview,Ridgeway,400,17,27,7,Good,16,7/28/2023 12:00:00 AM,0.0738487506773,163.014120972666
144,SYR3059,Seeley Rd.,Ridgeway,Fayette Blvd.,500,17,27,6,Fair,16,7/28/2023 12:00:00 AM,0.0592740755415,130.839591750826
145,SYR306,Bishop Ave.,W. Colvin,Elmhurst,100,13,30,7,Good,19,7/26/2023 12:00:00 AM,0.156042377778,344.294798961775
146,SYR3060,Seeley Rd.,Fayette Blvd.,Niven,600,17,26,8,Good,16,7/28/2023 12:00:00 AM,0.0595457369942,131.437606021651
147,SYR3061,Seeley Rd.,Niven,Salt Springs Rd.,700,17,26,8,Good,16,7/28/2023 12:00:00 AM,0.101475879966,223.988022264823
148,SYR3062,Seneca Dr,E. Glen Ave,Clarence,100,14,24,6,Fair,19,8/2/2023 12:00:00 AM,0.0817564940223,180.335013809253
149,SYR3063,Seneca Dr,Clarence,Orlando,200,14,24,5,Poor,19,8/2/2023 12:00:00 AM,0.171727930694,378.743434531633
150,SYR3064,Seneca Dr,Orlando,Seneca Tnpk,400,14,24,7,Good,19,8/2/2023 12:00:00 AM,0.100893564481,222.529772168478
151,SYR3065,Seneca Pl,W. Seneca Tnpk,dead end,100,13,12,8,Good,19,8/21/2023 12:00:00 AM,0.294588871219,649.533663706267
152,SYR3066,Seneca St,W. Fayette,Marcellus,100,8,28,4,Poor,19,8/21/2023 12:00:00 AM,0.0697275661753,153.852496203608
153,SYR3067,Seneca St,Marcellus,Otisco,200,8,28,10,Excellent,19,8/21/2023 12:00:00 AM,0.068873495628,151.96420358275
154,SYR3068,Seneca St,Otisco,Tully,300,8,28,10,Excellent,19,8/21/2023 12:00:00 AM,0.0689595924833,152.156998029419
155,SYR3069,Seneca Tpk E,S. Salina,Seneca Dr.,100,14,36,8,Good,16,8/21/2023 12:00:00 AM,0.117734066689,258.765475719492
156,SYR3070,Seneca Tpk E,Seneca Dr.,Monticello,200,14,36,9,Excellent,16,8/21/2023 12:00:00 AM,0.0871231647585,191.485005150486
157,SYR3071,Seneca Tpk E,Monticello,Maywood,300,14,36,9,Excellent,16,11/8/2023 12:00:00 AM,0.108901590116,239.702251439644
158,SYR3072,Seneca Tpk E,Maywood,Rte. 81,400,14,36,9,Excellent,16,8/14/2023 12:00:00 AM,0.193970427874,426.761489775544
159,SYR3073,Seneca Tpk E,Rte. 81,E. Brighton,500,14,36,9,Excellent,16,8/14/2023 12:00:00 AM,0.238899040557,525.283283856471
160,SYR3074,"Seneca Tpk., W.",S. Salina,Midland,100,13,36,9,Excellent,16,8/18/2023 12:00:00 AM,0.214388011033,471.221346900522
161,SYR3075,"Seneca Tpk., W.",Midland,Milbourn,200,13,36,9,Excellent,16,7/26/2023 12:00:00 AM,0.1960667318,430.959979478712
162,SYR3076,"Seneca Tpk., W.",Milbourn,Valley Dr.,300,13,36,8,Good,16,7/26/2023 12:00:00 AM,0.126873082271,278.871603958228
163,SYR3077,"Seneca Tpk., W.",Valley Dr.,Smith Rd.,400,13,39,8,Good,16,8/21/2023 12:00:00 AM,0.107808164008,236.97477629045
164,SYR3078,"Seneca Tpk., W.",Smith Rd.,Ames Ave.,500,13,36,8,Good,16,8/21/2023 12:00:00 AM,0.144167399063,316.942635745439
165,SYR3079,"Seneca Tpk., W.",Ames Ave.,Hopper Rd,600,13,36,7,Good,16,8/21/2023 12:00:00 AM,0.042465679345,93.361533681546
166,SYR308,Bishop Ave.,Marguerite,Brighton,300,13,27,6,Fair,19,8/18/2023 12:00:00 AM,0.0633270579467,139.718712447125
167,SYR3080,"Seneca Tpk., W.",Hopper Rd,Seneca Pl./C.L.,700,13,36,9,Excellent,16,8/22/2023 12:00:00 AM,0.370558677306,815.070914803918
168,SYR3081,Seventh North St,Court,Cadillac,100,1,31,8,Good,17,7/20/2023 12:00:00 AM,0.152633676218,336.449101322148
169,SYR3082,Seventh North St,Cadillac,LeMoyne,200,1,31,8,Good,17,7/20/2023 12:00:00 AM,0.164151979226,361.832442710979
170,SYR3083,Seventh North St,LeMoyne,Stedman,300,1,33,9,Excellent,16,7/20/2023 12:00:00 AM,0.0859866200274,189.539811367478
171,SYR3084,Seventh North St,Stedman,Wolf,400,1,33,9,Excellent,16,7/18/2023 12:00:00 AM,0.0832148996265,183.437378271006
172,SYR3087,Seward St.,Lodi,Rosewood,100,6,27,6,Fair,19,7/5/2023 12:00:00 AM,0.0774095455839,170.748827016766
173,SYR3088,Seward St.,Rosewood,Alvord,200,6,27,5,Poor,19,7/5/2023 12:00:00 AM,0.103207321648,227.676255528375
174,SYR3089,Seward St.,Alvord,Graves,300,4,27,6,Fair,19,7/5/2023 12:00:00 AM,0.0527094294605,116.304813215244
175,SYR309,Bishop Ave.,Brighton,Lafayette,400,13,27,6,Fair,19,8/18/2023 12:00:00 AM,0.0588617590587,129.864544946131
176,SYR3091,Seymour St,West,Niagara,200,10,30,9,Excellent,17,8/21/2023 12:00:00 AM,0.121088968871,266.306848091526
177,SYR3092,Seymour St,Niagara,Oswego,300,10,30,9,Excellent,17,8/21/2023 12:00:00 AM,0.182389396205,401.121009800122
178,SYR3093,Seymour St,Oswego,Geddes,500,8,30,7,Good,17,8/21/2023 12:00:00 AM,0.388555462273,854.528406114665
179,SYR3094,Seymour St,Geddes,Wilbur,600,8,30,7,Good,17,8/21/2023 12:00:00 AM,0.116183985052,255.516319647563
180,SYR3095,Sharon Dr,Winkworth,Highridge,100,11,24,10,Excellent,19,8/22/2023 12:00:00 AM,0.116103750303,256.176059124578
181,SYR3096,Shelbourne Pl,Parkway Dr.,dead end,100,12,24,7,Good,19,7/26/2023 12:00:00 AM,0.0466769040504,102.987136034924
182,SYR3097,Sheldon Ave,Ballantyne,dead end,100,14,26,6,Fair,19,8/21/2023 12:00:00 AM,0.0876021401404,193.246205270856
183,SYR3098,Sherbourne Rd,Meadowbrook,Crawford,100,17,28,5,Poor,19,8/2/2023 12:00:00 AM,0.0839894464599,184.771376635848
184,SYR3099,Sherbourne Rd,Crawford,dead end,200,17,28,6,Fair,19,8/2/2023 12:00:00 AM,0.109902639352,241.668920175895
185,SYR31,"Adams St., E.",Walnut,Comstock,1200,16,28,9,Excellent,16,8/1/2023 12:00:00 AM,0.0923717759971,203.148345157322
186,SYR310,"Bissell St., E",South,Rockland,100,12,23,6,Fair,19,7/26/2023 12:00:00 AM,0.175996526665,387.714500892904
187,SYR3100,Sheridan Dr,W. Onondaga,Holland,100,10,17,10,Excellent,19,8/21/2023 12:00:00 AM,0.0871413619324,191.961698857982
